"index","probe.id","gene.id"
10558,"201109_s_at","THBS1"
10559,"201110_s_at","THBS1"
10560,"201111_at","CSE1L"
10561,"201112_s_at","CSE1L"
10562,"201113_at","TUFM"
10563,"201114_x_at","PSMA7"
10564,"201115_at","POLD2"
10565,"201116_s_at","CPE"
10566,"201117_s_at","CPE"
10567,"201118_at","PGD"
10568,"201119_s_at","COX8A"
10569,"201120_s_at","PGRMC1"
10570,"201121_s_at","PGRMC1"
10571,"201122_x_at","EIF5A"
10572,"201123_s_at","EIF5A"
10573,"201124_at","ITGB5"
10574,"201125_s_at","ITGB5"
10575,"201126_s_at","MGAT1"
10576,"201127_s_at","ACLY"
10577,"201128_s_at","ACLY"
10578,"201129_at","SRSF7"
10579,"201130_s_at","CDH1"
10580,"201131_s_at","CDH1"
10581,"201132_at","HNRNPH2"
10582,"201133_s_at","PJA2"
10583,"201134_x_at","COX7C"
10584,"201135_at","ECHS1"
10585,"201136_at","PLP2"
10586,"201137_s_at","HLA-DPB1"
10587,"201138_s_at","SSB"
10588,"201139_s_at","SSB"
10589,"201140_s_at","RAB5C"
10590,"201141_at","GPNMB"
10591,"201142_at","EIF2S1"
10592,"201143_s_at","EIF2S1"
10593,"201144_s_at","EIF2S1"
10594,"201145_at","HAX1"
10595,"201146_at","NFE2L2"
10596,"201147_s_at","TIMP3"
10597,"201148_s_at","TIMP3"
10598,"201149_s_at","TIMP3"
10599,"201150_s_at","TIMP3"
10600,"201151_s_at","MBNL1"
10601,"201152_s_at","MBNL1"
10602,"201153_s_at","MBNL1"
10603,"201154_x_at","RPL4"
10604,"201155_s_at","MFN2"
10605,"201156_s_at","RAB5C"
10606,"201157_s_at","NMT1"
10607,"201158_at","NMT1"
10608,"201159_s_at","NMT1"
10609,"201160_s_at","YBX3"
10610,"201161_s_at","YBX3"
10611,"201162_at","IGFBP7"
10612,"201163_s_at","IGFBP7"
10613,"201164_s_at","PUM1"
10614,"201165_s_at","PUM1"
10615,"201166_s_at","PUM1"
10616,"201167_x_at","ARHGDIA"
10617,"201168_x_at","ARHGDIA"
10618,"201169_s_at","BHLHE40"
10619,"201170_s_at","BHLHE40"
10620,"201171_at","ATP6V0E1"
10621,"201172_x_at","ATP6V0E1"
10622,"201173_x_at","NUDC"
10623,"201174_s_at","TERF2IP"
10624,"201175_at","TMX2"
10625,"201176_s_at","ARCN1"
10626,"201177_s_at","UBA2"
10627,"201178_at","FBXO7"
10628,"201179_s_at","GNAI3"
10629,"201180_s_at","GNAI3"
10630,"201181_at","GNAI3"
10631,"201182_s_at","CHD4"
10632,"201183_s_at","CHD4"
10633,"201184_s_at","CHD4"
10634,"201185_at","HTRA1"
10635,"201186_at","LRPAP1"
10636,"201187_s_at","ITPR3"
10637,"201188_s_at","ITPR3"
10638,"201189_s_at","ITPR3"
10639,"201190_s_at","PITPNA"
10640,"201191_at","PITPNA"
10641,"201192_s_at","PITPNA"
10642,"201193_at","IDH1"
10643,"201194_at","SELENOW"
10644,"201195_s_at","SLC7A5"
10645,"201196_s_at","AMD1"
10646,"201197_at","AMD1"
10647,"201198_s_at","PSMD1"
10648,"201199_s_at","PSMD1"
10649,"201200_at","CREG1"
10650,"201201_at","CSTB"
10651,"201202_at","PCNA"
10652,"201203_s_at","RRBP1"
10653,"201204_s_at","RRBP1"
10654,"201205_at","RRBP1"
10655,"201206_s_at","RRBP1"
10656,"201207_at","TNFAIP1"
10657,"201208_s_at","TNFAIP1"
10658,"201209_at","HDAC1"
10659,"201210_at","DDX3X"
10660,"201211_s_at","DDX3X"
10661,"201212_at","LGMN"
10662,"201213_at","PPP1R7"
10663,"201214_s_at","PPP1R7"
10664,"201215_at","PLS3"
10665,"201216_at","ERP29"
10666,"201217_x_at","RPL3"
10667,"201218_at","CTBP2"
10668,"201219_at","CTBP2"
10669,"201220_x_at","CTBP2"
10670,"201221_s_at","SNRNP70"
10671,"201222_s_at","RAD23B"
10672,"201223_s_at","RAD23B"
10673,"201224_s_at","SRRM1"
10674,"201225_s_at","SRRM1"
10675,"201226_at","NDUFB8"
10676,"201227_s_at","NDUFB8"
10677,"201228_s_at","ARIH2"
10678,"201229_s_at","ARIH2"
10679,"201230_s_at","ARIH2"
10680,"201231_s_at","ENO1"
10681,"201232_s_at","PSMD13"
10682,"201233_at","PSMD13"
10683,"201234_at","ILK"
10684,"201235_s_at","BTG2"
10685,"201236_s_at","BTG2"
10686,"201237_at","CAPZA2"
10687,"201238_s_at","CAPZA2"
10688,"201239_s_at","SPCS2"
10689,"201240_s_at","SPCS2"
10690,"201241_at","DDX1"
10691,"201242_s_at","ATP1B1"
10692,"201243_s_at","ATP1B1"
10693,"201244_s_at","RAF1"
10694,"201245_s_at","OTUB1"
10695,"201246_s_at","OTUB1"
10696,"201247_at","SREBF2"
10697,"201248_s_at","SREBF2"
10698,"201249_at","SLC2A1"
10699,"201250_s_at","SLC2A1"
10700,"201251_at","PKM"
10701,"201252_at","PSMC4"
10702,"201253_s_at","CDIPT"
10703,"201254_x_at","RPS6"
10704,"201255_x_at","BAG6"
10705,"201256_at","COX7A2L"
10706,"201257_x_at","RPS3A"
10707,"201258_at","RPS16"
10708,"201259_s_at","SYPL1"
10709,"201260_s_at","SYPL1"
10710,"201261_x_at","BGN"
10711,"201262_s_at","BGN"
10712,"201263_at","TARS1"
10713,"201264_at","COPE"
10715,"201266_at","TXNRD1"
10716,"201267_s_at","PSMC3"
10717,"201268_at","NME2"
10718,"201269_s_at","NUDCD3"
10719,"201270_x_at","NUDCD3"
10720,"201271_s_at","RALY"
10721,"201272_at","AKR1B1"
10722,"201273_s_at","SRP9"
10723,"201274_at","PSMA5"
10724,"201275_at","FDPS"
10725,"201276_at","RAB5B"
10726,"201277_s_at","HNRNPAB"
10727,"201278_at","DAB2"
10728,"201279_s_at","DAB2"
10729,"201280_s_at","DAB2"
10730,"201281_at","ADRM1"
10731,"201282_at","OGDH"
10732,"201283_s_at","TRAK1"
10733,"201284_s_at","APEH"
10734,"201285_at","MKRN1"
10735,"201286_at","SDC1"
10736,"201287_s_at","SDC1"
10737,"201288_at","ARHGDIB"
10738,"201289_at","CCN1"
10739,"201290_at","SEC11A"
10740,"201291_s_at","TOP2A"
10741,"201292_at","TOP2A"
